"fullid"	"entid"	"stidstrt"	"stidsch"	"stidstd"	"SchName"	"Fname"	"ST001Q01_15"	"ST002Q01_15"	"ST003Q01_15"	"ST003Q02_15"	"ST003Q03_15"	"ST004Q01_15"	"ST126Q01_15"	"ST127Q01_15"	"ST127Q02_15"	"ST127Q03_15"	"ST014Q01_15"	"ST014Q02_15"	"ST005Q01_15"	"ST006Q01_15"	"ST006Q02_15"	"ST006Q03_15"	"ST006Q04_15"	"ST015Q01_15"	"ST015Q02_15"	"ST007Q01_15"	"ST008Q01_15"	"ST008Q02_15"	"ST008Q03_15"	"ST008Q04_15"	"ST019Q01_15"	"ST019Q02_15"	"ST019Q03_15"	"COB_S"	"COB_M"	"COB_F"	"ST021Q01_15"	"ST022Q01_15"	"LANGHOME"	"ST011Q01_15"	"ST011Q02_15"	"ST011Q03_15"	"ST011Q04_15"	"ST011Q05_15"	"ST011Q06_15"	"ST011Q07_15"	"ST011Q08_15"	"ST011Q09_15"	"ST011Q010_15"	"ST011Q011_15"	"ST011Q012_15"	"ST011Q013_15"	"ST011Q014_15"	"ST011Q015_15"	"ST011Q016_15"	"ST012Q01_15"	"ST012Q02_15"	"ST012Q03_15"	"ST012Q04_15"	"ST012Q05_15"	"ST012Q06_15"	"ST012Q07_15"	"ST012Q08_15"	"ST013Q01_15"	"ST88Q01_12"	"ST88Q02_12"	"ST88Q03_12"	"ST88Q04_12"	"ST86Q01_12"	"ST86Q02_12"	"ST86Q03_12"	"ST86Q04_12"	"ST86Q05_12"	"ST55Q01_12"	"ST55Q02_12"	"ST55Q03_12"	"ST55Q04_12"	"ST41Q01_9"	"ST41Q02_9"	"ST41Q03_9"	"ST41Q04_9"	"ST41Q05_9"	"ST41Q06_9"	"ST42Q01_9"	"ST42Q02_9"	"ST42Q03_9"	"ST42Q04_9"	"ST42Q05_9"	"ST25Q01_9"	"ST25Q02_9"	"ST25Q03_9"	"ST25Q04_9"	"ST25Q05_9"	"ST81Q01_12"	"ST81Q02_12"	"ST81Q03_12"	"ST81Q04_12"	"ST81Q05_12"	"ST29Q01_12"	"ST29Q02_12"	"ST29Q03_12"	"ST29Q04_12"	"ST29Q05_12"	"ST29Q06_12"	"ST29Q07_12"	"ST29Q08_12"	"ST37Q01_12"	"ST37Q02_12"	"ST37Q03_12"	"ST37Q04_12"	"ST37Q05_12"	"ST37Q06_12"	"ST37Q07_12"	"ST37Q08_12"	"ST36Q01_09"	"ST36Q02_09"	"ST36Q03_09"	"ST36Q04_09"	"ST36Q05_09"	"ST063Q01_15"	"ST063Q02_15"	"ST063Q03_15"	"ST063Q04_15"	"ST063Q05_15"	"ST063Q06_15"	"ST065Q01_15"	"ST129Q01_15"	"ST129Q02_15"	"ST129Q03_15"	"ST129Q04_15"	"ST129Q05_15"	"ST129Q06_15"	"ST129Q07_15"	"ST129Q08_15"	"ST097Q01_15"	"ST097Q02_15"	"ST097Q03_15"	"ST097Q04_15"	"ST097Q05_15"	"ST113Q01_15"	"ST113Q02_15"	"ST113Q03_15"	"ST113Q04_15"	"ST114Q01_15"	"ST103Q01_15"	"ST103Q02_15"	"ST103Q03_15"	"ST103Q04_15"	"ST107Q01_15"	"ST107Q02_15"	"ST107Q03_15"	"ST131Q01_15"	"ST131Q02_15"	"ST131Q03_15"	"ST131Q04_15"	"ST131Q05_15"	"ST131Q06_15"	"ST131Q07_15"	"ST27Q01_6"	"ST27Q02_6"	"ST27Q03_6"	"ST27Q04_6"	"LANG"	"OCIN1"	"OCIN2"	"OCOD1"	"OCOD2"	"Age"	"nationality"	"BFMJ2"	"BMMJ1"	"DISCLIM"	"DISCLIMA"	"DISCLIMS"	"ESCS"	"FAMSTRUC"	"FISCED"	"HISCED"	"HISEI"	"HOMEPOS"	"IMMIG"	"INSTMOT"	"INSTSCIE"	"MATHEFF"	"SCIEEFF"	"METASUM"	"MISCED"	"PARED"	"SCIEEFF"	"STUDREL"	"UNDREM"	"WEALTH"	"pv1math"	"pv2math"	"pv3math"	"pv4math"	"pv5math"	"pv1read"	"pv2read"	"pv3read"	"pv4read"	"pv5read"	"pv1scie"	"pv2scie"	"pv3scie"	"pv4scie"	"pv5scie"	"bookid"	"W_FSTUWT"	"W_FSTR1"	"W_FSTR2"	"W_FSTR3"	"W_FSTR4"	"W_FSTR5"	"W_FSTR6"	"W_FSTR7"	"W_FSTR8"	"W_FSTR9"	"W_FSTR10"	"W_FSTR11"	"W_FSTR12"	"W_FSTR13"	"W_FSTR14"	"W_FSTR15"	"W_FSTR16"	"W_FSTR17"	"W_FSTR18"	"W_FSTR19"	"W_FSTR20"	"W_FSTR21"	"W_FSTR22"	"W_FSTR23"	"W_FSTR24"	"W_FSTR25"	"W_FSTR26"	"W_FSTR27"	"W_FSTR28"	"W_FSTR29"	"W_FSTR30"	"W_FSTR31"	"W_FSTR32"	"W_FSTR33"	"W_FSTR34"	"W_FSTR35"	"W_FSTR36"	"W_FSTR37"	"W_FSTR38"	"W_FSTR39"	"W_FSTR40"	"W_FSTR41"	"W_FSTR42"	"W_FSTR43"	"W_FSTR44"	"W_FSTR45"	"W_FSTR46"	"W_FSTR47"	"W_FSTR48"	"W_FSTR49"	"W_FSTR50"	"W_FSTR51"	"W_FSTR52"	"W_FSTR53"	"W_FSTR54"	"W_FSTR55"	"W_FSTR56"	"W_FSTR57"	"W_FSTR58"	"W_FSTR59"	"W_FSTR60"	"W_FSTR61"	"W_FSTR62"	"W_FSTR63"	"W_FSTR64"	"W_FSTR65"	"W_FSTR66"	"W_FSTR67"	"W_FSTR68"	"W_FSTR69"	"W_FSTR70"	"W_FSTR71"	"W_FSTR72"	"W_FSTR73"	"W_FSTR74"	"W_FSTR75"	"W_FSTR76"	"W_FSTR77"	"W_FSTR78"	"W_FSTR79"	"W_FSTR80"
90000001001	90000001	NA	90000001	1	"EAESE SANTA COLOMA"	"andorra"	3	1	9	11	2002	1	6	1	9	NA	"4110"	NA	1	2	2	1	1	"1221"	NA	1	2	2	1	1	10	10	10	NA	NA	NA	0	156	NA	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	4	3	1	4	4	4	3	4	2	3	4	3	2	2	2	2	3	2	1	1	1	1	4	5	3	5	5	1	2	4	6	3	6	1	1	5	5	1	3	2	3	3	3	2	1	2	2	1	1	1	1	2	2	3	2	1	1	2	2	3	3	4	3	3	9	1	2	2	2	1	"quimica"	3	2	2	2	3	3	3	3	4	3	4	3	4	1	1	1	1	"criminologa"	2	1	4	4	3	3	4	3	3	4	NA	4	3	3	2	2	2	2	NA	NA	NA	NA	NA	15.5	NA	NA	NA	-0.310260558	0.35196482	1.025746207	0.585108104846964	NA	5	5	0.9049135577798	1.338988503	NA	1.534777315	1.763167333	-0.000142691	-0.565134537	-0.355	5	-0.275974025974026	-0.565134537	-0.476436589	-0.057	NA	413.675011245606	420.432998469827	417.707910719713	428.074484357746	428.481731814731	505.929907143679	505.929907143679	507.647164307253	502.030374865693	511.399993067704	415.77360652314	420.557646737455	426.249546223821	421.396474714094	413.693691120776	4	1	0.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	1.5
90000001005	90000001	NA	90000001	5	"EAESE SANTA COLOMA"	"andorra"	3	1	31	1	2002	2	6	2	9	NA	"9110"	NA	3	2	2	2	2	"7119"	NA	3	2	2	2	2	1	4	4	NA	NA	NA	NA	608	NA	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	4	4	1	4	4	3	1	1	1	4	4	2	1	2	1	2	2	2	1	1	1	2	4	4	5	3	4	2	4	3	6	5	4	2	2	5	2	3	3	3	3	4	4	3	1	3	2	1	2	3	1	2	1	1	1	2	2	2	2	4	4	3	4	4	1	9	2	2	9	2	"la tierra y el espa"	2	1	2	2	1	2	1	2	3	3	2	3	4	2	2	2	3	"cocinero"	4	2	4	4	4	3	3	4	3	3	NA	3	2	3	1	1	1	2	NA	NA	NA	NA	NA	16.3333333333333	NA	NA	NA	0.498796506	1.266109825	-0.015425733	-1.59860199026004	NA	2	2	-1.11828935395814	0.088482848	NA	0.746499949	-0.011325508	0.362558588	0.955249134	0.069	2	-1.89935064935065	0.955249134	0.391110473	-0.057	NA	482.757796890252	477.365023740615	472.696644556591	478.707205468607	484.836605014433	567.439063200065	551.897591786734	545.02437580973	557.046411504999	557.046411504999	468.171596404671	481.952054006959	472.396616111674	473.557724267136	479.212064359971	1	1	1.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	0.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5
90000001007	90000001	NA	90000001	7	"EAESE SANTA COLOMA"	"andorra"	3	1	27	7	2002	2	6	2	1	NA	"5132"	NA	3	2	2	2	2	"5120"	NA	3	2	2	2	2	4	4	4	NA	NA	NA	NA	608	NA	2	1	2	2	2	1	2	2	2	2	2	2	2	1	1	1	4	3	1	4	3	1	1	1	3	2	4	2	2	3	3	2	2	2	1	1	1	1	3	3	2	1	3	1	2	5	1	3	2	1	1	1	1	2	2	1	1	3	1	3	2	4	4	2	3	3	2	3	3	3	4	4	4	4	3	2	1	1	2	1	2	2	2	2	1	1	"natus"	3	3	2	3	3	3	3	3	1	1	2	1	1	3	3	3	2	"fotografo"	2	2	3	3	2	3	4	3	2	3	NA	3	3	3	2	2	3	3	NA	NA	NA	NA	NA	15.8333333333333	NA	NA	NA	-1.396532902	-1.92425124	-2.311542048	-2.2229274657577	NA	2	2	-1.20382165605096	-1.332803995	NA	-0.35510117	-0.515171911	-2.090861664	-0.896979297	-0.779	2	-1.89935064935065	-0.896979297	-0.776532377	-1.16	NA	316.392335940672	317.265091752952	322.223433238296	314.394403878576	318.355823740618	306.971317426702	308.162804250566	311.118333685095	295.285032420552	302.994100713582	360.388487960383	349.800990015454	353.539020390584	362.341838503336	372.423784579454	3	1	0.5	0.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5
90000001008	90000001	NA	90000001	8	"EAESE SANTA COLOMA"	"andorra"	3	1	18	12	2002	1	6	2	1	NA	"5310"	NA	2	2	2	1	2	"9505"	NA	3	2	2	2	2	1	11	2	NA	NA	NA	NA	156	NA	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	3	2	3	4	2	4	1	1	3	2	3	2	2	2	2	2	2	2	1	2	2	1	4	1	3	6	6	5	3	1	3	6	6	4	2	3	4	3	3	2	1	3	2	4	3	4	3	2	3	4	3	3	2	3	3	2	3	3	3	4	4	3	4	4	1	1	1	2	2	1	"cfn"	2	1	1	2	2	1	2	1	2	1	1	2	1	3	3	2	3	"profesora"	1	4	3	4	4	4	4	3	3	3	NA	4	4	4	2	2	2	2	NA	NA	NA	NA	NA	15.4166666666667	NA	NA	NA	-0.876404801	1.266109825	-2.006133991	-0.982886475197817	NA	2	5	-1.20655141037307	-0.096844279	NA	-1.086353529	-0.515171911	-1.08033279	1.204056491	1.341	5	-0.275974025974026	1.204056491	-0.053359481	0.678	NA	454.101373197716	453.962852000551	458.604833506462	458.604833506462	452.615593345914	492.029826526105	497.959505505756	496.296475160854	502.45698928216	506.522623838614	442.561022365073	446.854141931	450.205815383949	432.042709431439	432.988119075096	4	1	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5
90000001009	90000001	NA	90000001	9	"EAESE SANTA COLOMA"	"andorra"	3	1	4	10	2002	1	5	2	1	NA	"2221"	NA	1	2	1	2	2	"7521"	NA	5	2	2	2	2	1	1	2	NA	NA	NA	NA	160	NA	1	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	2	3	2	4	2	4	1	3	4	2	4	2	2	3	3	3	3	2	2	2	2	2	3	2	5	6	5	5	4	2	6	5	6	1	1	4	3	3	2	2	2	2	2	2	1	3	3	1	2	1	1	2	1	2	3	2	1	2	3	3	3	2	3	2	1	1	9	2	9	2	NA	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	1	1	"terapia ocupacional"	2	2	3	2	3	3	3	4	4	4	NA	4	4	4	9	9	9	9	NA	NA	NA	NA	NA	15.5833333333333	NA	NA	NA	-1.041866091	-0.549085819	-1.030395258	0.628061899459266	NA	0	6	0.78252957233849	0.334232278	NA	1.534777315	1.763167333	-0.165997041	0.51738666	0.493	6	0.86038961038961	0.51738666	-1.22769255	0.678	NA	409.857567887801	417.707910719713	422.2473866857	401.768367729932	413.675011245606	363.568739834608	363.956293944675	373.391405353333	368.556933170953	363.568739834608	545.261680783198	545.249610185312	526.299145659907	550.504762477584	548.28498483395	5	1	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	1.5
90000001010	90000001	NA	90000001	10	"EAESE SANTA COLOMA"	"andorra"	3	1	13	12	2002	2	6	2	1	NA	"2330"	NA	1	1	2	2	2	"3321"	NA	1	1	2	2	2	1	4	2	NA	NA	NA	NA	160	NA	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	3	3	2	4	3	4	1	1	2	4	4	1	1	3	2	1	1	1	1	1	1	2	4	3	5	2	4	3	4	3	5	4	6	1	1	3	2	1	2	3	2	3	2	3	1	3	3	1	3	2	2	4	3	3	3	2	4	4	4	4	4	3	3	3	2	2	1	2	1	1	"cfn"	2	1	2	2	3	3	2	1	2	2	2	1	3	1	2	1	1	"bombero"	3	2	3	4	4	3	4	3	3	4	NA	4	4	3	2	2	2	1	NA	NA	NA	NA	NA	15.4166666666667	NA	NA	NA	-0.705917471	0.644079757	-1.026892791	0.722773625468905	NA	6	6	1.40627843494086	-0.137275051	NA	0.746499949	1.335823015	-1.891521472	0.31819428	0.493	6	0.86038961038961	0.31819428	0.739566272	-0.057	NA	434.458978828148	434.624466499922	421.634827304652	428.481731814731	417.707910719713	455.605870489587	455.605870489587	446.160889830271	450.192698974616	455.790832622613	444.585053007577	447.391388916024	431.768055265188	445.099316536845	435.418324641004	6	1	0.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5
90000001011	90000001	NA	90000001	11	"EAESE SANTA COLOMA"	"andorra"	3	1	10	11	2002	2	7	2	1	NA	"9501"	NA	3	2	2	2	2	"3350"	NA	1	2	1	2	2	11	11	1	NA	NA	NA	0	156	NA	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	4	3	2	3	3	3	1	2	2	4	4	2	2	3	2	2	2	2	1	1	1	1	4	3	4	5	6	4	5	3	6	6	5	4	4	4	4	4	2	2	2	3	3	4	3	3	4	3	3	3	2	2	2	2	1	2	2	3	3	3	3	3	3	3	2	1	2	2	1	2	"cfn"	1	1	1	2	1	2	2	2	3	3	2	3	3	2	2	2	2	"historiador"	3	3	3	3	3	3	3	4	3	3	NA	3	3	4	2	2	2	2	NA	NA	NA	NA	NA	15.5	NA	NA	NA	-0.705917471	0.025735217	-0.209762611	0.339379101739646	NA	6	6	0.45950864422202	-0.00405323	NA	-0.861488488	0.392517031	-0.325501654	1.204056491	0.069	2	0.86038961038961	1.204056491	-0.476436589	0.678	NA	402.931395998504	408.812831465599	417.707910719713	410.190749987593	411.776084118001	492.029826526105	497.557207224493	496.345239104273	499.332390490442	498.907092983932	474.637708927006	469.113587725556	471.021423373168	472.416101884889	470.981925948677	7	1	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5
90000001012	90000001	NA	90000001	12	"EAESE SANTA COLOMA"	"andorra"	3	1	16	7	2002	1	6	2	1	NA	"1420"	NA	3	2	2	2	1	"8331"	NA	4	2	2	2	1	1	2	4	NA	NA	NA	NA	156	NA	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	2	4	3	3	4	2	3	3	3	2	3	3	3	1	3	2	1	2	2	1	1	1	1	5	5	6	5	3	4	5	4	4	4	4	4	3	4	2	2	3	3	4	3	3	3	1	3	2	1	1	2	1	2	3	4	2	2	3	2	3	4	4	4	4	4	1	1	1	2	1	1	"cfn"	2	2	1	3	1	2	2	3	2	2	2	3	3	2	2	2	2	"doctora"	2	2	3	2	2	3	2	3	3	3	NA	3	3	3	2	3	2	2	NA	NA	NA	NA	NA	15.8333333333333	NA	NA	NA	0.208535009	1.84370719	-0.688979913	-0.828372673149212	NA	3	3	0.00272975432211111	-0.012995166	NA	1.04884686	0.392517031	-0.931178688	0.31819428	-1.627	3	-1.25	0.31819428	-0.053359481	-0.425	NA	316.392335940672	314.564596287345	327.037872901488	314.564596287345	328.310348780661	470.512231615867	465.62944052825	474.522179654402	459.723721890765	464.800310650299	590.07339474699	570.083397456919	591.008277647496	572.624663818626	583.694411280457	1	1	0.5	0.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5
90000001013	90000001	NA	90000001	13	"EAESE SANTA COLOMA"	"andorra"	3	1	13	8	2002	2	99	9	2	NA	"3331"	NA	2	9	1	9	9	"1120"	NA	2	9	1	9	9	1	2	1	NA	NA	NA	NA	160	NA	1	1	1	1	9	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	3	4	2	4	3	1	4	1	1	4	1	3	3	4	1	1	1	1	3	2	5	5	5	3	3	2	4	5	6	5	2	5	5	3	3	2	1	3	1	2	2	4	3	2	1	1	1	3	2	3	3	2	4	4	2	3	3	3	4	4	9	9	9	9	1	1	"naturales"	2	2	2	2	2	2	3	3	3	3	3	2	2	1	2	2	1	"actor"	3	2	3	3	2	2	1	4	4	4	NA	4	4	3	2	1	2	1	NA	NA	NA	NA	NA	15.75	NA	NA	NA	-1.041866091	0.644079757	-0.312744129	1.62348265161994	NA	6	6	0.857142857142857	2.669802163	NA	0.746499949	1.067191298	-1.231011335	-0.052847823	1.341	6	0.86038961038961	-0.052847823	-1.428917781	1.413	NA	364.406229566115	352.610982229292	364.064413709312	370.179555379469	365.487879611423	359.640147305404	373.158034786756	363.568739834608	359.640147305404	356.126115442167	483.506007550906	479.773621767908	480.274770402629	470.059546617961	469.113587725556	2	1	1.5	0.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	1.5
90000001014	90000001	NA	90000001	14	"EAESE SANTA COLOMA"	"andorra"	4	4	21	3	2002	2	6	1	1	NA	"1412"	NA	3	2	2	2	1	"1323"	NA	3	2	2	2	1	4	4	4	NA	NA	NA	2	608	NA	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	3	2	1	4	4	4	1	4	3	4	4	1	1	1	2	2	1	1	1	3	1	5	6	4	5	4	4	1	6	5	6	6	6	1	2	5	1	4	3	3	3	4	3	2	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	3	3	3	3	3	2	2	1	1	1	1	"naturales"	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	2	"productor musica"	4	4	4	4	3	3	3	3	4	4	NA	4	3	3	1	1	1	1	NA	NA	NA	NA	NA	16.1666666666667	NA	NA	NA	0.208535009	0.025735217	0.07098683	-0.431465809418699	NA	3	3	0.381710646041856	0.525389163	NA	0.746499949	-0.515171911	2.303982208	0.31819428	-0.355	3	-1.25	0.31819428	1.064122686	-0.425	NA	469.810311681427	454.101373197716	451.654023295244	445.529028875664	467.516068062149	451.490330348518	460.270955170701	450.192698974616	451.490330348518	450.980099447806	494.737341761148	467.40512002452	488.751246979506	489.326161350605	490.393370990127	3	1	1.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	0.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	1.5	1.5	1.5	1.5	0.5	1.5	0.5	1.5	1.5	1.5	1.5	1.5	1.5	0.5	0.5	1.5	0.5	0.5	1.5	1.5	0.5	0.5	0.5	0.5	1.5	0.5	1.5	0.5
