"fullid"	"entid"	"bookid"	"PM5002Q01"	"PM5002Q02"	"PM5008Q01"	"PM5010Q01"	"PM5010Q02"	"PM5013Q01"	"PM5013Q03"	"PM5015Q02"	"PM5017Q02"	"PM5017Q03"	"PM5020Q02"	"PM5021Q01"	"PM5021Q02"	"PM5026Q01"	"PM5101Q01"	"PM5101Q02"	"PM5102Q01"	"PM5104Q01"	"PM5107Q01"	"PM5107Q02"	"PM5109Q01"	"PM5109Q02"	"PM5110Q01"	"PM5110Q02"	"PM5124Q01"	"PM5124Q02"	"PM5124Q03"	"PM5142Q01"	"PM5142Q02"	"PM5145Q01"	"PM5163Q01"	"PM5169Q01"	"PM5169Q02"	"PM5181Q02"	"PM5183Q01"	"PM5183Q02"	"PM5185Q01"	"PM5185Q02"	"PM5187Q01"	"PM5188Q01"	"PR6002Q01"	"PR6002Q02"	"PR6002Q04"	"PR6002Q05"	"PR6004Q01"	"PR6004Q05B"	"PR6004Q06"	"PR6008Q02"	"PR6008Q04"	"PR6008Q05"	"PR6010Q01"	"PR6010Q03"	"PR6010Q06"	"PR6010Q07"	"PR6011Q03"	"PR6011Q05"	"PR6011Q07"	"PR6013Q03"	"PR6013Q04"	"PR6013Q06"	"PR6014Q03"	"PR6014Q06"	"PR6014Q07"	"PR6015Q01"	"PR6015Q03"	"PR6015Q04"	"PR6015Q06"	"PR6017Q04"	"PR6017Q05"	"PR6017Q08"	"PR6017Q10"	"PR6017Q11"	"PR6018Q01"	"PR6018Q03"	"PR6018Q08"	"PR6018Q09"	"PR6023Q01"	"PR6023Q06"	"PR6023Q07"	"PR6023Q08"	"PR6026Q02"	"PR6026Q05"	"PR6027Q01"	"PR6027Q04"	"PR6027Q10"	"PS7000Q01"	"PS7000Q02"	"PS7002Q03"	"PS7002Q04"	"PS7012Q01"	"PS7012Q03"	"PS7012Q04"	"PS7013Q01"	"PS7013Q02"	"PS7014Q01"	"PS7014Q03"	"PS7017Q01"	"PS7017Q04"	"PS7018Q03"	"PS7018Q04"	"PS7020Q03"	"PS7020Q04"	"PS7021Q02"	"PS7021Q04"	"PS7201Q01"	"PS7201Q02"	"PS7201Q03"	"PS7205Q02"	"PS7208Q01"	"PS7208Q02"	"PS7211Q01"	"PS7211Q02"	"PS7212Q01"	"PS7212Q02"	"PS7212Q04"	"PS7215Q02"	"PS7215Q03"	"PS7216Q01"	"PS7216Q03"	"PS7217Q01"	"PS7217Q02"	"PS7220Q01"	"PS7220Q02"	"PS7220Q03"	"PS7221Q01"	"PS7221Q02"	"PS7221Q03"	"PS7221Q04"	"PS7222Q01"	"PS7222Q02"	"PS7222Q03"	"PS7224Q02"	"PS7228Q02"	"PS7228Q03"	"PS7228Q04"	"PS7230Q02"	"PS7230Q03"	"PS7231Q01"	"PS7231Q04"
90000001001	90000001	4	"7"	"7"	"0"	"777"	"7"	"7"	"7"	"3"	"1"	"2"	"7"	"7777"	"7"	"7"	"7"	"7"	"3"	"7"	"7"	"7"	"0"	"0"	"1"	"9"	"7"	"7"	"7"	"1"	"0"	"7"	"0"	"1"	"0"	"7"	"7"	"7"	"4"	"222"	"2"	"7"	"7"	"7777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"77777"	"7"	"7"	"7"	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"777"	"777"	"777"	"7"	"7"	"7"	"777"	"7"	"7"	"2"	"9"	"112"	"4"	"1"	"2"	"0"	"3"	"0"	"3"	"2121"	"3"	"1"	"777"	"777"	"1"	"2"	"0"	"4"	"1"	"1"	"1"	"111"	"1"	"3"	"0"	"0"	"1"	"7"	"7"	"11111"	"0"	"2"	"11"	"1"	"3"	"0"	"211"	"1"	"4"	"221"	"21"	"111"	"0"	"0"	"3"	"12"	"1211"	"12"	"111"
90000001005	90000001	1	"3"	"3"	"9"	"121"	"9"	"7"	"7"	"3"	"2"	"2"	"0"	"7777"	"7"	"7"	"7"	"7"	"2"	"7"	"7"	"7"	"9"	"9"	"0"	"0"	"7"	"7"	"7"	"1"	"1"	"7"	"0"	"0"	"0"	"7"	"7"	"7"	"4"	"112"	"2"	"1"	"7"	"7777"	"7"	"7"	"1"	"1"	"4"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"0"	"3"	"1"	"7"	"77777"	"7"	"4"	"0"	"1"	"3"	"2"	"231"	"1"	"4"	"2"	"2211"	"1"	"2"	"1"	"7"	"7"	"7"	"7"	"121"	"111"	"211"	"1"	"9"	"3"	"211"	"1"	"3"	"7"	"7"	"777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7777"	"7"	"7"	"122"	"121"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7"	"7"	"2"	"1"	"77777"	"7"	"7"	"77"	"7"	"7"	"7"	"777"	"7"	"7"	"777"	"77"	"777"	"7"	"7"	"7"	"77"	"7777"	"77"	"777"
90000001007	90000001	3	"7"	"7"	"0"	"777"	"7"	"3"	"0"	"3"	"4"	"9"	"7"	"2112"	"0"	"0"	"4"	"0"	"1"	"2"	"0"	"9"	"9"	"9"	"0"	"9"	"0"	"9"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"9"	"9"	"1"	"4"	"211"	"2"	"7"	"2"	"1121"	"9"	"4"	"7"	"7"	"7"	"0"	"1"	"9"	"3"	"0"	"2"	"0"	"3"	"0"	"0"	"7"	"7"	"7"	"1"	"21221"	"0"	"7"	"7"	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7777"	"7"	"7"	"7"	"1"	"4"	"3"	"0"	"777"	"777"	"777"	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7777"	"7"	"7"	"777"	"777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"77777"	"7"	"7"	"77"	"7"	"7"	"7"	"777"	"7"	"7"	"777"	"77"	"777"	"7"	"7"	"7"	"77"	"7777"	"77"	"777"
90000001008	90000001	4	"7"	"7"	"9"	"777"	"7"	"7"	"7"	"2"	"2"	"2"	"7"	"7777"	"7"	"7"	"7"	"7"	"2"	"7"	"7"	"7"	"0"	"9"	"0"	"9"	"7"	"7"	"7"	"1"	"1"	"7"	"0"	"1"	"0"	"7"	"7"	"7"	"4"	"211"	"2"	"7"	"7"	"7777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"77777"	"7"	"7"	"7"	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"777"	"777"	"777"	"7"	"7"	"7"	"777"	"7"	"7"	"2"	"1"	"212"	"4"	"1"	"2"	"0"	"4"	"0"	"1"	"1212"	"1"	"1"	"777"	"777"	"1"	"2"	"0"	"4"	"2"	"1"	"1"	"222"	"9"	"2"	"0"	"0"	"0"	"7"	"7"	"22112"	"9"	"2"	"21"	"2"	"3"	"0"	"122"	"1"	"4"	"112"	"22"	"111"	"0"	"0"	"4"	"21"	"2121"	"12"	"112"
90000001009	90000001	5	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"777"	"7"	"7"	"1"	"1111"	"0"	"3"	"0"	"1"	"4"	"0"	"0"	"0"	"1"	"0"	"4"	"0"	"2"	"0"	"0"	"0"	"2"	"4"	"2"	"11212"	"0"	"7"	"7"	"7"	"7"	"2"	"311"	"0"	"4"	"1"	"1211"	"1"	"1"	"0"	"1"	"3"	"5"	"0"	"121"	"111"	"777"	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7"	"4"	"0"	"7"	"7777"	"2"	"1"	"777"	"777"	"7"	"7"	"7"	"3"	"7"	"7"	"7"	"777"	"0"	"2"	"9"	"0"	"0"	"7"	"7"	"77777"	"7"	"7"	"77"	"7"	"3"	"0"	"211"	"2"	"4"	"221"	"11"	"111"	"9"	"0"	"2"	"77"	"7777"	"12"	"112"
90000001010	90000001	6	"1"	"3"	"7"	"111"	"0"	"7"	"7"	"7"	"7"	"7"	"9"	"7777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"777"	"7"	"1"	"2"	"1122"	"0"	"1"	"7"	"7"	"7"	"0"	"0"	"0"	"4"	"1"	"2"	"0"	"3"	"0"	"0"	"7"	"7"	"7"	"1"	"12112"	"0"	"3"	"0"	"0"	"3"	"7"	"777"	"7"	"7"	"7"	"7777"	"7"	"7"	"7"	"2"	"3"	"5"	"1"	"777"	"777"	"212"	"1"	"0"	"4"	"111"	"0"	"4"	"4"	"1"	"112"	"2"	"0"	"1"	"0"	"7"	"7"	"3"	"1122"	"7"	"7"	"121"	"212"	"0"	"3"	"0"	"7"	"4"	"0"	"0"	"112"	"7"	"7"	"7"	"7"	"7"	"1"	"0"	"21112"	"0"	"1"	"11"	"2"	"7"	"7"	"777"	"7"	"7"	"777"	"77"	"777"	"7"	"7"	"7"	"11"	"1121"	"77"	"777"
90000001011	90000001	7	"7"	"7"	"7"	"777"	"7"	"2"	"1"	"7"	"7"	"7"	"7"	"2112"	"0"	"r"	"1"	"0"	"7"	"1"	"r"	"r"	"7"	"7"	"7"	"7"	"1"	"9"	"9"	"7"	"7"	"r"	"7"	"7"	"7"	"9"	"9"	"9"	"7"	"777"	"7"	"7"	"7"	"7777"	"7"	"7"	"1"	"1"	"4"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"1"	"2"	"1"	"7"	"77777"	"7"	"7"	"7"	"7"	"7"	"2"	"231"	"1"	"2"	"2"	"1212"	"1"	"2"	"0"	"7"	"7"	"7"	"7"	"212"	"211"	"777"	"7"	"7"	"7"	"777"	"7"	"7"	"2"	"0"	"112"	"4"	"1"	"2"	"1"	"7"	"7"	"1"	"2211"	"7"	"7"	"777"	"777"	"0"	"3"	"0"	"7"	"1"	"9"	"1"	"112"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"22112"	"1"	"1"	"12"	"4"	"7"	"7"	"777"	"7"	"7"	"777"	"77"	"777"	"7"	"7"	"7"	"11"	"2111"	"77"	"777"
90000001012	90000001	1	"3"	"4"	"0"	"111"	"0"	"7"	"7"	"2"	"4"	"9"	"9"	"7777"	"7"	"7"	"7"	"7"	"3"	"7"	"7"	"7"	"0"	"0"	"0"	"0"	"7"	"7"	"7"	"0"	"0"	"7"	"0"	"9"	"9"	"7"	"7"	"7"	"4"	"212"	"2"	"0"	"7"	"7777"	"7"	"7"	"1"	"1"	"4"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"0"	"8"	"1"	"7"	"77777"	"7"	"8"	"0"	"0"	"3"	"2"	"221"	"0"	"4"	"8"	"2212"	"0"	"2"	"1"	"7"	"7"	"7"	"7"	"112"	"219"	"212"	"1"	"0"	"2"	"211"	"1"	"3"	"7"	"7"	"777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7777"	"7"	"7"	"121"	"221"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7"	"7"	"4"	"0"	"77777"	"7"	"7"	"77"	"7"	"7"	"7"	"777"	"7"	"7"	"777"	"77"	"777"	"7"	"7"	"7"	"77"	"7777"	"77"	"777"
90000001013	90000001	2	"1"	"4"	"7"	"211"	"0"	"1"	"0"	"7"	"7"	"7"	"0"	"2112"	"0"	"0"	"2"	"0"	"7"	"3"	"0"	"0"	"7"	"7"	"7"	"7"	"0"	"0"	"9"	"7"	"7"	"9"	"7"	"7"	"7"	"9"	"9"	"1"	"7"	"777"	"7"	"1"	"7"	"7777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"77777"	"7"	"4"	"9"	"0"	"2"	"7"	"777"	"7"	"7"	"7"	"7777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"777"	"777"	"211"	"1"	"1"	"3"	"211"	"0"	"3"	"7"	"7"	"777"	"7"	"7"	"7"	"7"	"4"	"0"	"7"	"7777"	"3"	"0"	"112"	"121"	"7"	"7"	"7"	"3"	"7"	"7"	"7"	"777"	"0"	"4"	"0"	"0"	"0"	"2"	"1"	"77777"	"7"	"7"	"77"	"7"	"3"	"1"	"112"	"3"	"4"	"121"	"12"	"122"	"0"	"9"	"1"	"77"	"7777"	"21"	"212"
90000001014	90000001	3	"7"	"7"	"9"	"777"	"7"	"2"	"1"	"3"	"4"	"2"	"7"	"2112"	"0"	"9"	"3"	"9"	"1"	"1"	"0"	"9"	"9"	"9"	"0"	"9"	"1"	"0"	"9"	"1"	"1"	"9"	"9"	"1"	"1"	"9"	"9"	"9"	"4"	"212"	"2"	"7"	"r"	"rrrr"	"r"	"r"	"7"	"7"	"7"	"1"	"1"	"9"	"r"	"r"	"r"	"r"	"1"	"9"	"9"	"7"	"7"	"7"	"r"	"rrrrr"	"r"	"7"	"7"	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7777"	"7"	"7"	"7"	"9"	"3"	"4"	"1"	"777"	"777"	"777"	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7777"	"7"	"7"	"777"	"777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"777"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"77777"	"7"	"7"	"77"	"7"	"7"	"7"	"777"	"7"	"7"	"777"	"77"	"777"	"7"	"7"	"7"	"77"	"7777"	"77"	"777"
